id,name,url1,url2,url3
40,Jyotisar,http://1.bp.blogspot.com/_npWFFuYus3I/TDH34JwWJII/AAAAAAAAFRA/9okH5G-0A_A/s1600/2010_Jyotisar_Kurukshetra_5.JPG,http://kurukshetraonline.info/wp-content/uploads/2013/09/Sheikh_Chehli_Tomb.jpg,http://www.kurukshetra.nic.in/tour/tourimages/JYOTISAR1.jpg
41,Panchkula,http://photos.wikimapia.org/p/00/03/37/90/88_big.jpg,http://www.vmis.in/Portals/0/Assets/WhatsNew%20Images/whats_new_02.png,http://img1.holidayiq.com/photos/pa/Panchkula-8287-0-jpg-uploadimages-travel-619x240-1334842738-cropped.jpg
42,Dharamshala,http://himachaltourism.gov.in/HimachalIT/image.axd?picture=2008%2F9%2FNaddi.jpg,http://media-cdn.tripadvisor.com/media/photo-s/01/cc/81/e6/dharamsala.jpg,http://img1.holidayiq.com/photos/dh/Dharamshala-537167-0-jpg-uploadimages-travel-619x240-1334065709-cropped.jpg
43,Vaishno Devi,http://www.vaishnodevimata.com/images/index_04.jpg,http://www.newsonair.nic.in/feature-image/Vaishno-devi-temple.jpg,http://www.katrahelicopterpackage.com/images/katra/maavaishnodevibhawanVaishno_Devi_Entrance.jpg
44,Badami,http://www.shunya.net/Pictures/South%20India/Badami/BadamiCaveOne01.jpg,http://media-cdn.tripadvisor.com/media/photo-s/01/67/9e/64/badami-caves.jpg,http://www.topindiatravel.com/images/inner_images/south-india-69-118/big/Carved-stone-image-in-bdami.jpg
45,Gulbarga,http://upload.wikimedia.org/wikipedia/commons/c/cf/Great_Mosque_in_Gulbarga_Fort.gif,http://heritagewalkgulbarga.blog.com/files/2010/10/canons_at_gulbarga_fort1.jpg,http://visitinrajasthan.com/adm_monument_details/gul3_arc.jpg
46,Raichur,http://upload.wikimedia.org/wikipedia/commons/f/fa/Fort_Hill_Top.jpg,http://i1.ytimg.com/vi/GLzFzhfZR9c/maxresdefault.jpg,http://www.hindu.com/2008/02/09/images/2008020952030301.jpg
47,Elephanta Caves,http://upload.wikimedia.org/wikipedia/commons/9/93/Elephanta_Caves_Gangadhara.jpg,"http://4.bp.blogspot.com/-BO6086HGfoo/T0KebNQ70UI/AAAAAAAAFcg/XWVq6CWzb1s/s1600/Elephanta+Caves,+Mumbai,+Maharashtra.jpg",http://2.bp.blogspot.com/-CpXTWSLwNK8/UIul85RIgUI/AAAAAAAATyU/j8wxhcxcqVg/s1600/Elephanta+Caves+near+Bombay+(Mumbai)+-+c1880's.JPG
48,Konark Sun Temple,http://upload.wikimedia.org/wikipedia/commons/b/b8/Konark_Sun_Temple_Front_view.jpg,http://upload.wikimedia.org/wikipedia/commons/d/db/Konark_sun_temple_06.jpg,http://www.indiamarks.com/wp-content/uploads/konark-sun-temple.jpg
49,The Leaning Temple Of Huma,http://upload.wikimedia.org/wikipedia/commons/e/e6/Huma_01.jpg,http://odiaexpress.com/wp-content/uploads/2012/09/Leaning-temple-huma.jpg,http://munnabbsr.files.wordpress.com/2011/05/the-leaning-temple-of-huma.jpg
50,Udayagiri And Khndagiri Caves,http://www.alltouristattractions.org/ala/2012/12/Udayagiri-and-Khandagiri-Caves1.jpg,https://c1.staticflickr.com/7/6197/6096862444_c1632251c8_z.jpg,"http://upload.wikimedia.org/wikipedia/commons/b/bf/Udaygiri_%26_Khandagiri_Caves,_Bhubaneswar_(18)_-_Oct_2010.jpg"
51,Jodhpur,http://rechercheholidays.com/Page/admin/PageCategory/upload/jodhpur-fort-rajasthan-2.jpg,http://1.bp.blogspot.com/-wqnOYC0TIbU/T0EJKzAiMbI/AAAAAAAACE4/z8TcxsyfAaA/s1600/Mehrangarh%2BFort-Jodhpur-Rajasthan.jpg,http://www.elatrip.com/images/gallery/rajasthan/jodhpur/jodhpur_fort.jpg
52,Rumtek Monastery,http://media-cdn.tripadvisor.com/media/photo-s/01/67/8d/3d/rumtek-monastery.jpg,http://www.businesstravellerindia.com/200204/btapr02_53.jpg,http://www.khyenkong-tharjay.org/images/Rumtek_Monastery_in_Sikkim_Karmey_Chogar_the_main_seat_of_HH.jpg
53,Badrinath,http://anudinam.org/wp-content/uploads/2012/04/badrinath_temple.jpg,https://c1.staticflickr.com/9/8216/8274280421_d872f6dccc_z.jpg,http://www.kamalkapoor.com/images/wallpapers/800x600/Badrinath%20wallpaper1603.jpg
54,Kedarnath,http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Kedarnath_Temple.jpg/1280px-Kedarnath_Temple.jpg,http://2.bp.blogspot.com/-fyxLm45R8UE/UcRavRhecFI/AAAAAAAAjWY/6MMYt35t288/s640/kedarnath-temple.jpg,http://www.himalayamasala.com/files/imagecache/kedarnath-temple-and-mountain.jpg
55,Gangotri,http://www.shunya.net/Pictures/Himalayas/Gangotri/Gangotri-temple.jpg,http://www.himalayamasala.com/files/imagecache/gangotri-temple-entrance.jpg,http://www.holidayiq.com/destreviewimages/Gangotri-499549_14.JPG
56,Yamunotri,http://3.bp.blogspot.com/-AVhOefRGIwg/TbFSih6xc8I/AAAAAAAAAaU/qCZ3elMBQQs/s1600/Yamunotri-the-famous-hindu--temple-photos.JPG,"http://4.bp.blogspot.com/_9vPNlqoYUtY/Sehy8Vc8-kI/AAAAAAAACbU/xXLEIUja_Z0/s400/Yamunotri+Temple+-+Char+Dham+Yatra,+Himalayas.jpg",http://static.panoramio.com/photos/large/15301778.jpg
